CÓDIGO_INSTITUCIÓN_PADRE,CÓDIGO_INSTITUCIÓN,# universidad,NOMBRE_INSTITUCIÓN,ESTADO_INSTITUCIÓN,CARÁCTER_ACADÉMICO,SECTOR,codigoprograma,NOMBRE_DEL_PROGRAMA,,,,,,,,,,,,,,,,
1201,1201,9,UNIVERSIDAD DE ANTIOQUIA,Activa,Universidad,Oficial,9.6,MAESTRÍA EN EDUCACIÓN,,,,,,,,,,,,,,,,
1201,1201,9,UNIVERSIDAD DE ANTIOQUIA,Activa,Universidad,Oficial,9.7,MAESTRIA EN ENSEÑANZA DE LAS MATEMATICAS,,,,,,,,,,,,,,,,
1201,1201,9,UNIVERSIDAD DE ANTIOQUIA,Activa,Universidad,Oficial,9.8,MAESTRÍA EN GESTIÓN AMBIENTAL,,,,,,,,,,,,,,,,
1201,1201,9,UNIVERSIDAD DE ANTIOQUIA,Activa,Universidad,Oficial,9.9,MAESTRIA EN POLITICAS PÚBLICAS ALIMENTARIAS Y NUTRICIONALES,,,,,,,,,,,,,,,,
1201,1201,9,UNIVERSIDAD DE ANTIOQUIA,Activa,Universidad,Oficial,9.10,MAESTRÍA EN TELESALUD,,,,,,,,,,,,,,,,
1204,1204,12,UNIVERSIDAD INDUSTRIAL DE SANTANDER,Activa,Universidad,Oficial,12.1,MAESTRIA EN INFORMATICA PARA LA EDUCACION,,,,,,,,,,,,,,,,
1205,1205,13,UNIVERSIDAD DE CARTAGENA,Activa,Universidad,Oficial,13.1,ESPECIALIZACIÓN EN DIDÁCTICA Y TIC,,,,,,,,,,,,,,,,
1205,1205,13,UNIVERSIDAD DE CARTAGENA,Activa,Universidad,Oficial,13.2,MAESTRIA EN ENFERMERÍA,,,,,,,,,,,,,,,,
1205,1205,13,UNIVERSIDAD DE CARTAGENA,Activa,Universidad,Oficial,13.3,MAESTRÍA EN RECURSOS DIGITALES APLICADOS A LA EDUCACIÓN,,,,,,,,,,,,,,,,
1206,1206,14,UNIVERSIDAD DE NARIÑO,Activa,Universidad,Oficial,14.1,MAESTRÍA EN EDUCACIÓN VIRTUAL,,,,,,,,,,,,,,,,
1207,1207,15,UNIVERSIDAD DEL TOLIMA,Activa,Universidad,Oficial,15.1,ESPECIALIZACIÓN EN EDUCACIÓN PARA LA DIVERSIDAD EN LA NIÑEZ,,,,,,,,,,,,,,,,
1207,1207,15,UNIVERSIDAD DEL TOLIMA,Activa,Universidad,Oficial,15.2,ESPECIALIZACIÓN EN FINANZAS,,,,,,,,,,,,,,,,
1207,1207,15,UNIVERSIDAD DEL TOLIMA,Activa,Universidad,Oficial,15.3,ESPECIALIZACION EN GERENCIA DE INSTITUCIONES EDUCATIVAS,,,,,,,,,,,,,,,,
1207,1207,15,UNIVERSIDAD DEL TOLIMA,Activa,Universidad,Oficial,15.4,ESPECIALIZACION EN GERENCIA DE PROYECTOS,,,,,,,,,,,,,,,,
1207,1207,15,UNIVERSIDAD DEL TOLIMA,Activa,Universidad,Oficial,15.5,MAESTRÍA EN PEDAGOGÍA DE LA LITERATURA,,,,,,,,,,,,,,,,
1207,1207,15,UNIVERSIDAD DEL TOLIMA,Activa,Universidad,Oficial,15.6,MAESTRÍA EN PEDAGOGÍA Y MEDIACIONES TECNOLÓGICAS,,,,,,,,,,,,,,,,
1209,1209,16,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,Activa,Universidad,Oficial,16.1,"ESPECIALIZACIÓN EN EDUCACIÓN, EMPRENDIMIENTO Y ECONOMÍA SOLIDARIA",,,,,,,,,,,,,,,,
1209,1209,16,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,Activa,Universidad,Oficial,16.2,MAESTRIA EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION (TIC) APLICADAS A LA EDUCACION,,,,,,,,,,,,,,,,
1209,1210,16,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,Activa,Universidad,Oficial,16.4,ESPECIALIZACIÓN EN SISTEMAS DE GESTIÓN INTEGRAL HSEQ,,,,,,,,,,,,,,,,
1212,1212,17,UNIVERSIDAD DE PAMPLONA,Activa,Universidad,Oficial,17.1,MAESTRÍA EN ADMINISTRACIÓN,,,,,,,,,,,,,,,,
1212,1212,17,UNIVERSIDAD DE PAMPLONA,Activa,Universidad,Oficial,17.2,MAESTRÍA EN CIENCIAS ECONÓMICAS Y EMPRESARIALES,,,,,,,,,,,,,,,,
1212,1212,17,UNIVERSIDAD DE PAMPLONA,Activa,Universidad,Oficial,17.3,MAESTRÍA EN EDUCACIÓN,,,,,,,,,,,,,,,,
1213,1213,18,UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA,Activa,Universidad,Oficial,18.1,ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,,,,,,,,,,,,,,,,
1213,1213,18,UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA,Activa,Universidad,Oficial,18.2,ESPECIALIZACION EN GESTION Y LEGISLACION AMBIENTAL,,,,,,,,,,,,,,,,
1213,1213,18,UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA,Activa,Universidad,Oficial,18.3,MAESTRIA EN ARGUMENTACION JURIDICA,,,,,,,,,,,,,,,,
1213,1213,18,UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA,Activa,Universidad,Oficial,18.4,MAESTRÍA EN ESCRITURAS AUDIOVISUALES,,,,,,,,,,,,,,,,
1213,1213,18,UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA,Activa,Universidad,Oficial,18.5,MAESTRIA EN PRODUCCION AUDIOVISUAL CREATIVA,,,,,,,,,,,,,,,,
1214,1214,19,UNIVERSIDAD DE CUNDINAMARCA-UDEC,Activa,Universidad,Oficial,19.1,ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS DE INFORMACIÓN GERENCIAL.,,,,,,,,,,,,,,,,
1301,1301,20,UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,Activa,Universidad,Oficial,20.1,MAESTRÍA EN EDUCACIÓN EN TECNOLOGÍA,,,,,,,,,,,,,,,,
1301,1301,20,UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,Activa,Universidad,Oficial,20.3,MAESTRÍA EN TELECOMUNICACIONES MÓVILES,,,,,,,,,,,,,,,,
1701,1701,21,PONTIFICIA UNIVERSIDAD JAVERIANA,Activa,Universidad,Privado,21.1,ESPECIALIZACIÓN EN DERECHO MATRIMONIAL CANÓNICO,,,,,,,,,,,,,,,,
1701,1701,21,PONTIFICIA UNIVERSIDAD JAVERIANA,Activa,Universidad,Privado,21.3,ESPECIALIZACION EN LIDERAZGO PARA LA GESTION SOCIAL,,,,,,,,,,,,,,,,
1701,1701,21,PONTIFICIA UNIVERSIDAD JAVERIANA,Activa,Universidad,Privado,21.4,MAESTRIA EN EDUCACION PARA LA INNOVACION Y LAS CIUDADANIAS,,,,,,,,,,,,,,,,
1701,1701,21,PONTIFICIA UNIVERSIDAD JAVERIANA,Activa,Universidad,Privado,21.5,MAESTRIA EN ESTUDIOS CRITICOS DE LAS MIGRACIONES CONTEMPORANEAS,,,,,,,,,,,,,,,,
1701,1701,21,PONTIFICIA UNIVERSIDAD JAVERIANA,Activa,Universidad,Privado,21.6,MAESTRÍA EN ESTUDIOS CULTURALES LATINOAMERICANOS,,,,,,,,,,,,,,,,
1701,1702,21,PONTIFICIA UNIVERSIDAD JAVERIANA,Activa,Universidad,Privado,21.7,ESPECIALIZACIÓN EN GESTIÓN DE LAS ARTES Y LA CULTURA,,,,,,,,,,,,,,,,
1701,1702,21,PONTIFICIA UNIVERSIDAD JAVERIANA,Activa,Universidad,Privado,21.8,MAESTRÍA EN ASESORÍA FAMILIAR,,,,,,,,,,,,,,,,
1701,1702,21,PONTIFICIA UNIVERSIDAD JAVERIANA,Activa,Universidad,Privado,21.9,MAESTRÍA EN CIENCIA DE DATOS,,,,,,,,,,,,,,,,
1704,1704,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.1,ESPECIALIZACIÓN EN DEFENSA DE LOS DERECHOS HUMANOS,,,,,,,,,,,,,,,,
1704,1704,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.2,ESPECIALIZACION EN GERENCIA DE EMPRESAS AGROPECUARIAS,,,,,,,,,,,,,,,,
1704,1704,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.3,ESPECIALIZACION EN GERENCIA DE INSTITUCIONES DE SEGURIDAD SOCIAL EN SALUD,,,,,,,,,,,,,,,,
1704,1704,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.4,ESPECIALIZACION EN GESTION INTEGRAL DE CUENCAS HIDROGRAFICAS,,,,,,,,,,,,,,,,
1704,1704,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.5,ESPECIALIZACION EN GESTION PARA EL DESARROLLO EMPRESARIAL,,,,,,,,,,,,,,,,
1704,1704,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.6,ESPECIALIZACION EN PATOLOGIA DE LA CONSTRUCCION,,,,,,,,,,,,,,,,
1704,1704,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.7,ESPECIALIZACIÓN EN PEDAGOGÍA PARA LA EDUCACIÓN SUPERIOR,,,,,,,,,,,,,,,,
1704,1704,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.8,MAESTRÍA EN AMBIENTES BILINGÜES DE APRENDIZAJE,,,,,,,,,,,,,,,,
1704,1704,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.9,MAESTRÍA EN DIDÁCTICA,,,,,,,,,,,,,,,,
1704,1704,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.10,MAESTRIA EN EDUCACION,,,,,,,,,,,,,,,,
1704,1704,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.11,MAESTRÍA EN GESTIÓN DE CUENCAS HIDROGRÁFICAS,,,,,,,,,,,,,,,,
1704,1704,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.12,MAESTRÍA EN GESTIÓN Y EVALUACIÓN EDUCATIVA,,,,,,,,,,,,,,,,
1704,1705,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.13,ESPECIALIZACIÓN EN  SEGURIDAD Y SALUD EN EL TRABAJO,,,,,,,,,,,,,,,,
1704,1705,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.14,ESPECIALIZACION EN ADMINISTRACION DEPORTIVA,,,,,,,,,,,,,,,,
1704,1705,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.15,ESPECIALIZACION EN FINANZAS PUBLICAS,,,,,,,,,,,,,,,,
1704,1705,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.16,ESPECIALIZACION EN GERENCIA DE LA INTERNACIONALIZACION EMPRESARIAL,,,,,,,,,,,,,,,,
